source,target,capacity,strength,type
Cloud_Platform,Identity_Provider,85,0.88,cloud_dependency
Cloud_Platform,API_Gateway,80,0.85,cloud_dependency
Cloud_Platform,Control_Center,75,0.85,cloud_steering
Identity_Provider,API_Gateway,68,0.82,identity_federation
Control_Center,Comm_Network,65,0.80,control_link
API_Gateway,Comm_Network,55,0.75,api_route
Rail_Hub_Central,Signaling_System,90,0.92,rail_backbone
Rail_Hub_Central,Dispatching,82,0.88,rail_backbone
Signaling_System,Dispatching,72,0.85,operational_link
Dispatching,Regional_Network,65,0.80,routing
Rail_Hub_Central,Regional_Network,70,0.82,rail_backbone
Maintenance_Capacity,Rail_Hub_Central,60,0.78,maintenance_support
Maintenance_Capacity,Signaling_System,55,0.75,maintenance_support
Supply_Chain,Freight_Logistics,88,0.90,logistics_flow
Supply_Chain,Production_Sector,82,0.88,supply_to_production
Freight_Logistics,Production_Sector,70,0.85,freight_to_production
Production_Sector,Service_Sector,65,0.80,sectoral_link
Production_Sector,Market_Sentiment,55,0.75,confidence_signal
Service_Sector,Market_Sentiment,50,0.72,confidence_signal
Rail_Commuters,Car_Users,35,0.45,substitution
Rail_Commuters,Home_Office,30,0.40,substitution
Rail_Commuters,Alt_Mobility,28,0.38,substitution
Car_Users,Home_Office,25,0.32,substitution
Alt_Mobility,Air_Travel,22,0.30,substitution
Control_Center,Signaling_System,75,0.82,bridge
Cloud_Platform,Dispatching,68,0.78,bridge
Rail_Hub_Central,Freight_Logistics,78,0.85,bridge
Rail_Hub_Central,Rail_Commuters,72,0.82,bridge
Freight_Logistics,Service_Sector,60,0.75,bridge
Market_Sentiment,Air_Travel,52,0.70,bridge
Market_Sentiment,Rail_Commuters,48,0.68,bridge
