source,target,capacity,strength,type
RU_GAS,UA_TRANSIT,110,0.9,pipeline
UA_TRANSIT,HU_TRANSIT,100,0.85,pipeline
HU_TRANSIT,DE_DEMAND,90,0.8,pipeline

RU_GAS,PL_TRANSIT,90,0.85,pipeline
PL_TRANSIT,DE_DEMAND,80,0.8,pipeline

NO_GAS,DE_DEMAND,90,0.95,pipeline
NO_GAS,FR_DEMAND,80,0.95,pipeline

LNG_TERMINAL,DE_DEMAND,70,0.9,pipeline
LNG_TERMINAL,FR_DEMAND,60,0.85,pipeline

AZ_GAS,TR_HUB,80,0.9,pipeline
IRAN_GAS,TR_HUB,70,0.75,pipeline
IRAQ_OIL,TR_HUB,60,0.7,pipeline

TR_HUB,BG_TRANSIT,80,0.85,pipeline
BG_TRANSIT,HU_TRANSIT,70,0.8,pipeline

TR_HUB,GR_HUB,70,0.9,pipeline
GR_HUB,IT_DEMAND,80,0.9,pipeline

EGYPT_GAS,JO_NODE,60,0.7,pipeline
JO_NODE,SY_NODE,50,0.6,pipeline
SY_NODE,TR_HUB,40,0.5,pipeline

RO_NODE,HU_TRANSIT,60,0.75,pipeline

DE_DEMAND,FR_DEMAND,50,0.9,internal
DE_DEMAND,PL_DEMAND,60,0.85,internal
HU_TRANSIT,RO_NODE,50,0.8,internal
IT_DEMAND,GR_HUB,50,0.85,internal
